date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,EMPTY,MISSING,7158,7505
2015-07-02 01:00:00,EMPTY,MISSING,7784,7565
2015-07-02 02:00:00,EMPTY,MISSING,7632,7528
2015-07-02 03:00:00,EMPTY,MISSING,7635,7358
2015-07-02 04:00:00,EMPTY,MISSING,7468,7132
2015-07-02 05:00:00,EMPTY,MISSING,7266,6999
2015-07-02 06:00:00,EMPTY,MISSING,6849,6586
2015-07-02 07:00:00,EMPTY,MISSING,6341,6029
2015-07-02 08:00:00,5780,OKAY,5780,5623
2015-07-02 09:00:00,5497,OKAY,5497,5376
2015-07-02 10:00:00,5306,OKAY,5306,5212
2015-07-02 11:00:00,5178,OKAY,5178,5133
2015-07-02 12:00:00,5235,OKAY,5235,5159
2015-07-02 13:00:00,5382,OKAY,5382,5293
2015-07-02 14:00:00,5723,OKAY,5723,5614
2015-07-02 15:00:00,6115,OKAY,6115,5955
2015-07-02 16:00:00,6435,OKAY,6435,6243
2015-07-02 17:00:00,6718,OKAY,6718,6474
2015-07-02 18:00:00,6936,OKAY,6936,6678
2015-07-02 19:00:00,7094,OKAY,7094,6865
2015-07-02 20:00:00,7260,OKAY,7260,7046
2015-07-02 21:00:00,7418,OKAY,7418,7188
2015-07-02 22:00:00,7477,OKAY,7477,7297
2015-07-02 23:00:00,7619,OKAY,7619,7395
2015-07-03 00:00:00,7674,OKAY,7674,7456
2015-07-03 01:00:00,7730,OKAY,7730,7494
2015-07-03 02:00:00,7601,OKAY,7601,7450
2015-07-03 03:00:00,7438,OKAY,7438,7295
2015-07-03 04:00:00,7270,OKAY,7270,7085
2015-07-03 05:00:00,7141,OKAY,7141,6956
2015-07-03 06:00:00,6733,OKAY,6733,6561
2015-07-03 07:00:00,6245,OKAY,6245,6044
2015-07-03 08:00:00,5742,OKAY,5742,5830
2015-07-03 09:00:00,5457,OKAY,5457,5546
2015-07-03 10:00:00,5242,OKAY,5242,5372
2015-07-03 11:00:00,5105,OKAY,5105,5286
2015-07-03 12:00:00,5062,OKAY,5062,5275
2015-07-03 13:00:00,5037,OKAY,5037,5304
2015-07-03 14:00:00,5198,OKAY,5198,5424
2015-07-03 15:00:00,5493,OKAY,5493,5664
2015-07-03 16:00:00,5982,OKAY,5982,6018
2015-07-03 17:00:00,6276,OKAY,6276,6344
2015-07-03 18:00:00,6499,OKAY,6499,6597
2015-07-03 19:00:00,6770,OKAY,6770,6805
2015-07-03 20:00:00,6886,OKAY,6886,6925
2015-07-03 21:00:00,7055,OKAY,7055,7023
2015-07-03 22:00:00,7156,OKAY,7156,7139
2015-07-03 23:00:00,7142,OKAY,7142,7201
2015-07-04 00:00:00,7359,OKAY,7359,7240
2015-07-04 01:00:00,7381,OKAY,7381,7264
2015-07-04 02:00:00,7311,OKAY,7311,7160
2015-07-04 03:00:00,7151,OKAY,7151,6941
2015-07-04 04:00:00,6918,OKAY,6918,6723
2015-07-04 05:00:00,6843,OKAY,6843,6648
2015-07-04 06:00:00,6553,OKAY,6553,6364
2015-07-04 07:00:00,6064,OKAY,6064,5934
2015-07-04 08:00:00,5669,OKAY,5669,5633
2015-07-04 09:00:00,5401,OKAY,5401,5245
2015-07-04 10:00:00,5147,OKAY,5147,5019
2015-07-04 11:00:00,5045,OKAY,5045,4902
2015-07-04 12:00:00,5010,OKAY,5010,4823
2015-07-04 13:00:00,4960,OKAY,4960,4730
2015-07-04 14:00:00,5107,OKAY,5107,4734
2015-07-04 15:00:00,5389,OKAY,5389,4996
2015-07-04 16:00:00,5800,OKAY,5800,5461
2015-07-04 17:00:00,6089,OKAY,6089,5844
2015-07-04 18:00:00,6388,OKAY,6388,6087
2015-07-04 19:00:00,6581,OKAY,6581,6262
2015-07-04 20:00:00,6699,OKAY,6699,6379
2015-07-04 21:00:00,6795,OKAY,6795,6462
2015-07-04 22:00:00,6878,OKAY,6878,6556
2015-07-04 23:00:00,6926,OKAY,6926,6681
2015-07-05 00:00:00,6946,OKAY,6946,6784
2015-07-05 01:00:00,7002,OKAY,7002,6842
2015-07-05 02:00:00,6951,OKAY,6951,6801
2015-07-05 03:00:00,6818,OKAY,6818,6629
2015-07-05 04:00:00,6620,OKAY,6620,6410
2015-07-05 05:00:00,6427,OKAY,6427,6320
2015-07-05 06:00:00,6161,OKAY,6161,6044
2015-07-05 07:00:00,5980,OKAY,5980,5608
2015-07-05 08:00:00,5595,OKAY,5595,5393
2015-07-05 09:00:00,5293,OKAY,5293,5242
2015-07-05 10:00:00,5116,OKAY,5116,5100
2015-07-05 11:00:00,5005,OKAY,5005,4998
2015-07-05 12:00:00,4964,OKAY,4964,4943
2015-07-05 13:00:00,4898,OKAY,4898,4866
2015-07-05 14:00:00,4989,OKAY,4989,4876
2015-07-05 15:00:00,5281,OKAY,5281,5124
2015-07-05 16:00:00,5681,OKAY,5681,5550
2015-07-05 17:00:00,6002,OKAY,6002,5896
2015-07-05 18:00:00,6273,OKAY,6273,6148
2015-07-05 19:00:00,6472,OKAY,6472,6356
2015-07-05 20:00:00,6679,OKAY,6679,6481
2015-07-05 21:00:00,6829,OKAY,6829,6589
2015-07-05 22:00:00,6909,OKAY,6909,6708
2015-07-05 23:00:00,7029,OKAY,7029,6785
2015-07-06 00:00:00,7089,OKAY,7089,6874
2015-07-06 01:00:00,7179,OKAY,7179,6991
2015-07-06 02:00:00,7160,OKAY,7160,6956
2015-07-06 03:00:00,7048,OKAY,7048,6814
