date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,9389,OKAY,9389,9947
2015-07-02 01:00:00,9138,OKAY,9138,9496
2015-07-02 02:00:00,8833,OKAY,8833,9091
2015-07-02 03:00:00,8134,OKAY,8134,8463
2015-07-02 04:00:00,7383,OKAY,7383,7477
2015-07-02 05:00:00,6703,OKAY,6703,6968
2015-07-02 06:00:00,6291,OKAY,6291,6455
2015-07-02 07:00:00,6038,OKAY,6038,6085
2015-07-02 08:00:00,5891,OKAY,5891,5894
2015-07-02 09:00:00,5881,OKAY,5881,5827
2015-07-02 10:00:00,6077,OKAY,6077,5940
2015-07-02 11:00:00,6359,OKAY,6359,6189
2015-07-02 12:00:00,6763,OKAY,6763,6650
2015-07-02 13:00:00,7139,OKAY,7139,7141
2015-07-02 14:00:00,7579,OKAY,7579,7743
2015-07-02 15:00:00,8152,OKAY,8152,8237
2015-07-02 16:00:00,8679,OKAY,8679,8742
2015-07-02 17:00:00,9160,OKAY,9160,9113
2015-07-02 18:00:00,9620,OKAY,9620,9606
2015-07-02 19:00:00,9955,OKAY,9955,9777
2015-07-02 20:00:00,10089,OKAY,10089,9866
2015-07-02 21:00:00,10122,OKAY,10122,9786
2015-07-02 22:00:00,9974,OKAY,9974,9609
2015-07-02 23:00:00,9448,OKAY,9448,9302
2015-07-03 00:00:00,8875,OKAY,8875,9001
2015-07-03 01:00:00,8562,OKAY,8562,8674
2015-07-03 02:00:00,8290,OKAY,8290,8469
2015-07-03 03:00:00,7672,OKAY,7672,7883
2015-07-03 04:00:00,6947,OKAY,6947,7096
2015-07-03 05:00:00,6312,OKAY,6312,6670
2015-07-03 06:00:00,5854,OKAY,5854,6178
2015-07-03 07:00:00,5558,OKAY,5558,5890
2015-07-03 08:00:00,5378,OKAY,5378,5684
2015-07-03 09:00:00,5329,OKAY,5329,5618
2015-07-03 10:00:00,5420,OKAY,5420,5601
2015-07-03 11:00:00,5493,OKAY,5493,5680
2015-07-03 12:00:00,5755,OKAY,5755,5925
2015-07-03 13:00:00,6204,OKAY,6204,6410
2015-07-03 14:00:00,6587,OKAY,6587,6987
2015-07-03 15:00:00,6959,OKAY,6959,7423
2015-07-03 16:00:00,7253,OKAY,7253,7890
2015-07-03 17:00:00,7535,OKAY,7535,8257
2015-07-03 18:00:00,7809,OKAY,7809,8534
2015-07-03 19:00:00,7955,OKAY,7955,8703
2015-07-03 20:00:00,8069,OKAY,8069,8829
2015-07-03 21:00:00,8166,OKAY,8166,8629
2015-07-03 22:00:00,8191,OKAY,8191,8457
2015-07-03 23:00:00,8002,OKAY,8002,8134
2015-07-04 00:00:00,7732,OKAY,7732,7757
2015-07-04 01:00:00,7547,OKAY,7547,7418
2015-07-04 02:00:00,7472,OKAY,7472,7201
2015-07-04 03:00:00,7077,OKAY,7077,7040
2015-07-04 04:00:00,6560,OKAY,6560,6520
2015-07-04 05:00:00,6070,OKAY,6070,6219
2015-07-04 06:00:00,5692,OKAY,5692,5825
2015-07-04 07:00:00,5425,OKAY,5425,5563
2015-07-04 08:00:00,5229,OKAY,5229,5354
2015-07-04 09:00:00,5165,OKAY,5165,5245
2015-07-04 10:00:00,5153,OKAY,5153,5222
2015-07-04 11:00:00,5089,OKAY,5089,5176
2015-07-04 12:00:00,5422,OKAY,5422,5516
2015-07-04 13:00:00,6108,OKAY,6108,6201
2015-07-04 14:00:00,6855,OKAY,6855,6883
2015-07-04 15:00:00,7537,OKAY,7537,7467
2015-07-04 16:00:00,8108,OKAY,8108,8071
