date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,9493,OKAY,9493,7283
2015-07-02 01:00:00,8961,OKAY,8961,6977
2015-07-02 02:00:00,8409,OKAY,8409,6613
2015-07-02 03:00:00,7545,OKAY,7545,5968
2015-07-02 04:00:00,6689,OKAY,6689,5365
2015-07-02 05:00:00,5950,OKAY,5950,4780
2015-07-02 06:00:00,5431,OKAY,5431,4390
2015-07-02 07:00:00,5060,OKAY,5060,4109
2015-07-02 08:00:00,4817,OKAY,4817,3966
2015-07-02 09:00:00,4763,OKAY,4763,3952
2015-07-02 10:00:00,4895,OKAY,4895,4058
2015-07-02 11:00:00,5185,OKAY,5185,4322
2015-07-02 12:00:00,5496,OKAY,5496,4600
2015-07-02 13:00:00,6122,OKAY,6122,5038
2015-07-02 14:00:00,6971,OKAY,6971,5693
2015-07-02 15:00:00,7843,OKAY,7843,6292
2015-07-02 16:00:00,8585,OKAY,8585,6816
2015-07-02 17:00:00,9174,OKAY,9174,7276
2015-07-02 18:00:00,9400,OKAY,9400,7656
2015-07-02 19:00:00,9246,OKAY,9246,7794
2015-07-02 20:00:00,8872,OKAY,8872,7856
2015-07-02 21:00:00,8498,OKAY,8498,7708
2015-07-02 22:00:00,8334,OKAY,8334,7517
2015-07-02 23:00:00,8140,OKAY,8140,7280
2015-07-03 00:00:00,7825,OKAY,7825,6807
2015-07-03 01:00:00,7568,OKAY,7568,6529
2015-07-03 02:00:00,7250,OKAY,7250,6265
2015-07-03 03:00:00,6694,OKAY,6694,5701
2015-07-03 04:00:00,6037,OKAY,6037,5171
2015-07-03 05:00:00,5431,OKAY,5431,4761
2015-07-03 06:00:00,4999,OKAY,4999,4393
2015-07-03 07:00:00,4668,OKAY,4668,4142
2015-07-03 08:00:00,4464,OKAY,4464,3992
2015-07-03 09:00:00,4391,OKAY,4391,3915
2015-07-03 10:00:00,4435,OKAY,4435,3943
2015-07-03 11:00:00,4576,OKAY,4576,3999
2015-07-03 12:00:00,4841,OKAY,4841,4153
2015-07-03 13:00:00,5578,OKAY,5578,4750
2015-07-03 14:00:00,6498,OKAY,6498,5509
2015-07-03 15:00:00,7421,OKAY,7421,6213
2015-07-03 16:00:00,8257,OKAY,8257,6793
2015-07-03 17:00:00,8988,OKAY,8988,7303
2015-07-03 18:00:00,9484,OKAY,9484,7642
2015-07-03 19:00:00,9749,OKAY,9749,7803
2015-07-03 20:00:00,9963,OKAY,9963,7853
2015-07-03 21:00:00,10028,OKAY,10028,7786
2015-07-03 22:00:00,9796,OKAY,9796,7625
2015-07-03 23:00:00,9207,OKAY,9207,7316
2015-07-04 00:00:00,8503,OKAY,8503,6781
2015-07-04 01:00:00,7997,OKAY,7997,6300
2015-07-04 02:00:00,7488,OKAY,7488,6080
2015-07-04 03:00:00,6901,OKAY,6901,5737
2015-07-04 04:00:00,6260,OKAY,6260,5276
2015-07-04 05:00:00,5611,OKAY,5611,4805
2015-07-04 06:00:00,5158,OKAY,5158,4460
2015-07-04 07:00:00,4789,OKAY,4789,4146
2015-07-04 08:00:00,4552,OKAY,4552,3980
2015-07-04 09:00:00,4410,OKAY,4410,3881
2015-07-04 10:00:00,4364,OKAY,4364,3843
2015-07-04 11:00:00,4377,OKAY,4377,3824
2015-07-04 12:00:00,4561,OKAY,4561,3986
2015-07-04 13:00:00,5205,OKAY,5205,4605
2015-07-04 14:00:00,6146,OKAY,6146,5448
2015-07-04 15:00:00,7136,OKAY,7136,6058
2015-07-04 16:00:00,8052,OKAY,8052,6671
2015-07-04 17:00:00,8804,OKAY,8804,7147
2015-07-04 18:00:00,9300,OKAY,9300,7437
2015-07-04 19:00:00,9596,OKAY,9596,7636
2015-07-04 20:00:00,9675,OKAY,9675,7676
2015-07-04 21:00:00,9394,OKAY,9394,7567
2015-07-04 22:00:00,8976,OKAY,8976,7376
2015-07-04 23:00:00,8438,OKAY,8438,7031
2015-07-05 00:00:00,7856,OKAY,7856,6622
2015-07-05 01:00:00,7371,OKAY,7371,6318
2015-07-05 02:00:00,6793,OKAY,6793,6065
2015-07-05 03:00:00,6466,OKAY,6466,5701
2015-07-05 04:00:00,6036,OKAY,6036,5286
2015-07-05 05:00:00,5487,OKAY,5487,4677
2015-07-05 06:00:00,5051,OKAY,5051,4337
2015-07-05 07:00:00,4714,OKAY,4714,4053
2015-07-05 08:00:00,4479,OKAY,4479,3901
2015-07-05 09:00:00,4366,OKAY,4366,3803
2015-07-05 10:00:00,4323,OKAY,4323,3761
2015-07-05 11:00:00,4369,OKAY,4369,3747
2015-07-05 12:00:00,4563,OKAY,4563,3926
2015-07-05 13:00:00,5331,OKAY,5331,4496
