date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,770,IDENTICAL_RUN,673,767
2015-07-02 01:00:00,770,IDENTICAL_RUN,755,761
2015-07-02 02:00:00,757,OKAY,757,744
2015-07-02 03:00:00,740,OKAY,740,728
2015-07-02 04:00:00,722,OKAY,722,715
2015-07-02 05:00:00,706,OKAY,706,706
2015-07-02 06:00:00,688,OKAY,688,687
2015-07-02 07:00:00,668,OKAY,668,665
2015-07-02 08:00:00,648,OKAY,648,655
2015-07-02 09:00:00,642,OKAY,642,626
2015-07-02 10:00:00,636,OKAY,636,620
2015-07-02 11:00:00,635,OKAY,635,617
2015-07-02 12:00:00,634,OKAY,634,617
2015-07-02 13:00:00,628,OKAY,628,619
2015-07-02 14:00:00,643,OKAY,643,635
2015-07-02 15:00:00,664,OKAY,664,656
2015-07-02 16:00:00,683,OKAY,683,671
2015-07-02 17:00:00,704,OKAY,704,688
2015-07-02 18:00:00,727,OKAY,727,706
2015-07-02 19:00:00,751,OKAY,751,730
2015-07-02 20:00:00,767,OKAY,767,749
2015-07-02 21:00:00,777,OKAY,777,767
2015-07-02 22:00:00,782,OKAY,782,773
2015-07-02 23:00:00,777,OKAY,777,777
2015-07-03 00:00:00,774,OKAY,774,774
2015-07-03 01:00:00,774,OKAY,774,770
2015-07-03 02:00:00,762,OKAY,762,754
2015-07-03 03:00:00,746,OKAY,746,739
2015-07-03 04:00:00,730,OKAY,730,725
2015-07-03 05:00:00,721,OKAY,721,710
2015-07-03 06:00:00,703,OKAY,703,690
2015-07-03 07:00:00,686,OKAY,686,670
2015-07-03 08:00:00,669,OKAY,669,640
2015-07-03 09:00:00,655,OKAY,655,638
2015-07-03 10:00:00,642,OKAY,642,631
2015-07-03 11:00:00,633,OKAY,633,625
2015-07-03 12:00:00,629,OKAY,629,621
2015-07-03 13:00:00,624,OKAY,624,618
2015-07-03 14:00:00,636,OKAY,636,625
2015-07-03 15:00:00,654,OKAY,654,642
2015-07-03 16:00:00,672,OKAY,672,664
2015-07-03 17:00:00,688,OKAY,688,683
2015-07-03 18:00:00,710,OKAY,710,702
2015-07-03 19:00:00,736,OKAY,736,721
2015-07-03 20:00:00,749,OKAY,749,740
2015-07-03 21:00:00,755,OKAY,755,753
2015-07-03 22:00:00,760,OKAY,760,757
2015-07-03 23:00:00,763,OKAY,763,760
2015-07-04 00:00:00,761,OKAY,761,758
2015-07-04 01:00:00,758,OKAY,758,753
2015-07-04 02:00:00,744,OKAY,744,737
2015-07-04 03:00:00,728,OKAY,728,723
2015-07-04 04:00:00,712,OKAY,712,712
2015-07-04 05:00:00,703,OKAY,703,699
2015-07-04 06:00:00,686,OKAY,686,682
2015-07-04 07:00:00,667,OKAY,667,663
2015-07-04 08:00:00,650,OKAY,650,648
2015-07-04 09:00:00,637,OKAY,637,618
2015-07-04 10:00:00,629,OKAY,629,610
2015-07-04 11:00:00,623,OKAY,623,605
2015-07-04 12:00:00,617,OKAY,617,602
2015-07-04 13:00:00,612,OKAY,612,602
2015-07-04 14:00:00,621,OKAY,621,609
2015-07-04 15:00:00,638,OKAY,638,623
2015-07-04 16:00:00,655,OKAY,655,643
2015-07-04 17:00:00,675,OKAY,675,662
2015-07-04 18:00:00,699,OKAY,699,680
2015-07-04 19:00:00,727,OKAY,727,700
2015-07-04 20:00:00,741,OKAY,741,718
2015-07-04 21:00:00,747,OKAY,747,732
2015-07-04 22:00:00,748,OKAY,748,738
2015-07-04 23:00:00,748,OKAY,748,742
2015-07-05 00:00:00,749,OKAY,749,740
2015-07-05 01:00:00,748,OKAY,748,734
2015-07-05 02:00:00,729,OKAY,729,717
2015-07-05 03:00:00,713,OKAY,713,704
2015-07-05 04:00:00,696,OKAY,696,690
2015-07-05 05:00:00,685,OKAY,685,680
2015-07-05 06:00:00,671,OKAY,671,662
2015-07-05 07:00:00,612,OKAY,612,641
2015-07-05 08:00:00,588,OKAY,588,629
2015-07-05 09:00:00,596,OKAY,596,594
2015-07-05 10:00:00,606,OKAY,606,575
2015-07-05 11:00:00,605,OKAY,605,571
2015-07-05 12:00:00,600,OKAY,600,567
2015-07-05 13:00:00,595,OKAY,595,564
2015-07-05 14:00:00,599,OKAY,599,571
2015-07-05 15:00:00,612,OKAY,612,590
2015-07-05 16:00:00,632,OKAY,632,614
2015-07-05 17:00:00,653,OKAY,653,638
2015-07-05 18:00:00,670,OKAY,670,659
2015-07-05 19:00:00,684,OKAY,684,681
2015-07-05 20:00:00,703,OKAY,703,694
2015-07-05 21:00:00,714,OKAY,714,702
2015-07-05 22:00:00,719,OKAY,719,699
2015-07-05 23:00:00,722,OKAY,722,700
2015-07-06 00:00:00,727,OKAY,727,698
2015-07-06 01:00:00,723,OKAY,723,694
2015-07-06 02:00:00,710,OKAY,710,679
2015-07-06 03:00:00,697,OKAY,697,663
2015-07-06 04:00:00,684,OKAY,684,652
2015-07-06 05:00:00,676,OKAY,676,643
2015-07-06 06:00:00,659,OKAY,659,627
2015-07-06 07:00:00,639,OKAY,639,596
2015-07-06 08:00:00,623,OKAY,623,567
2015-07-06 09:00:00,613,OKAY,613,592
2015-07-06 10:00:00,606,OKAY,606,594
2015-07-06 11:00:00,607,OKAY,607,592
2015-07-06 12:00:00,607,OKAY,607,591
2015-07-06 13:00:00,607,IDENTICAL_RUN,612,593
2015-07-06 14:00:00,627,OKAY,627,609
2015-07-06 15:00:00,647,OKAY,647,630
2015-07-06 16:00:00,663,OKAY,663,646
2015-07-06 17:00:00,678,OKAY,678,663
2015-07-06 18:00:00,693,OKAY,693,682
2015-07-06 19:00:00,711,OKAY,711,701
2015-07-06 20:00:00,731,OKAY,731,720
2015-07-06 21:00:00,750,OKAY,750,735
2015-07-06 22:00:00,758,OKAY,758,739
2015-07-06 23:00:00,762,OKAY,762,742
2015-07-07 00:00:00,768,OKAY,768,745
2015-07-07 01:00:00,762,OKAY,762,741
2015-07-07 02:00:00,741,OKAY,741,727
2015-07-07 03:00:00,722,OKAY,722,711
2015-07-07 04:00:00,709,OKAY,709,697
2015-07-07 05:00:00,697,OKAY,697,684
2015-07-07 06:00:00,680,OKAY,680,664
2015-07-07 07:00:00,656,OKAY,656,642
2015-07-07 08:00:00,639,OKAY,639,601
2015-07-07 09:00:00,628,OKAY,628,607
2015-07-07 10:00:00,618,OKAY,618,601
2015-07-07 11:00:00,616,OKAY,616,599
2015-07-07 12:00:00,618,OKAY,618,597
2015-07-07 13:00:00,617,OKAY,617,598
2015-07-07 14:00:00,629,OKAY,629,615
2015-07-07 15:00:00,645,OKAY,645,633
2015-07-07 16:00:00,666,OKAY,666,649
2015-07-07 17:00:00,675,OKAY,675,666
2015-07-07 18:00:00,694,OKAY,694,684
2015-07-07 19:00:00,716,OKAY,716,703
2015-07-07 20:00:00,739,OKAY,739,722
2015-07-07 21:00:00,752,OKAY,752,736
2015-07-07 22:00:00,759,OKAY,759,741
2015-07-07 23:00:00,763,OKAY,763,744
2015-07-08 00:00:00,771,OKAY,771,746
2015-07-08 01:00:00,764,OKAY,764,740
2015-07-08 02:00:00,744,OKAY,744,724
2015-07-08 03:00:00,723,OKAY,723,707
2015-07-08 04:00:00,710,OKAY,710,695
2015-07-08 05:00:00,704,OKAY,704,683
2015-07-08 06:00:00,683,OKAY,683,664
2015-07-08 07:00:00,661,OKAY,661,642
2015-07-08 08:00:00,644,OKAY,644,617
2015-07-08 09:00:00,634,OKAY,634,614
2015-07-08 10:00:00,627,OKAY,627,609
2015-07-08 11:00:00,621,OKAY,621,606
2015-07-08 12:00:00,608,OKAY,608,606
2015-07-08 13:00:00,611,OKAY,611,607
2015-07-08 14:00:00,625,OKAY,625,621
2015-07-08 15:00:00,640,OKAY,640,639
2015-07-08 16:00:00,651,OKAY,651,655
2015-07-08 17:00:00,692,OKAY,692,670
2015-07-08 18:00:00,709,OKAY,709,688
2015-07-08 19:00:00,733,OKAY,733,707
2015-07-08 20:00:00,757,OKAY,757,725
2015-07-08 21:00:00,769,OKAY,769,741
2015-07-08 22:00:00,775,OKAY,775,746
2015-07-08 23:00:00,782,OKAY,782,751
2015-07-09 00:00:00,786,OKAY,786,752
2015-07-09 01:00:00,780,OKAY,780,747
2015-07-09 02:00:00,763,OKAY,763,731
2015-07-09 03:00:00,745,OKAY,745,714
2015-07-09 04:00:00,729,OKAY,729,700
2015-07-09 05:00:00,718,OKAY,718,689
2015-07-09 06:00:00,695,OKAY,695,670
2015-07-09 07:00:00,671,OKAY,671,649
2015-07-09 08:00:00,653,OKAY,653,622
2015-07-09 09:00:00,639,OKAY,639,618
2015-07-09 10:00:00,632,OKAY,632,617
2015-07-09 11:00:00,629,OKAY,629,612
2015-07-09 12:00:00,633,OKAY,633,609
2015-07-09 13:00:00,637,OKAY,637,611
2015-07-09 14:00:00,636,OKAY,636,627
2015-07-09 15:00:00,642,OKAY,642,645
2015-07-09 16:00:00,656,OKAY,656,658
2015-07-09 17:00:00,675,OKAY,675,679
2015-07-09 18:00:00,699,OKAY,699,696
2015-07-09 19:00:00,723,OKAY,723,719
2015-07-09 20:00:00,761,OKAY,761,738
2015-07-09 21:00:00,773,OKAY,773,753
2015-07-09 22:00:00,779,OKAY,779,758
2015-07-09 23:00:00,784,OKAY,784,764
2015-07-10 00:00:00,784,OKAY,784,764
2015-07-10 01:00:00,778,OKAY,778,758
2015-07-10 02:00:00,757,OKAY,757,741
2015-07-10 03:00:00,739,OKAY,739,725
2015-07-10 04:00:00,723,OKAY,723,711
2015-07-10 05:00:00,716,OKAY,716,700
2015-07-10 06:00:00,694,OKAY,694,678
2015-07-10 07:00:00,675,OKAY,675,657
2015-07-10 08:00:00,663,OKAY,663,631
2015-07-10 09:00:00,654,OKAY,654,620
2015-07-10 10:00:00,644,OKAY,644,619
2015-07-10 11:00:00,641,OKAY,641,615
2015-07-10 12:00:00,643,OKAY,643,615
2015-07-10 13:00:00,645,OKAY,645,617
2015-07-10 14:00:00,655,OKAY,655,625
2015-07-10 15:00:00,670,OKAY,670,639
2015-07-10 16:00:00,683,OKAY,683,654
2015-07-10 17:00:00,696,OKAY,696,669
2015-07-10 18:00:00,707,OKAY,707,685
2015-07-10 19:00:00,724,OKAY,724,702
2015-07-10 20:00:00,744,OKAY,744,721
2015-07-10 21:00:00,761,OKAY,761,729
2015-07-10 22:00:00,769,OKAY,769,734
2015-07-10 23:00:00,772,OKAY,772,737
2015-07-11 00:00:00,771,OKAY,771,739
2015-07-11 01:00:00,750,OKAY,750,734
