date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,4610,OKAY,4610,4824
2015-07-02 01:00:00,4538,OKAY,4538,4676
2015-07-02 02:00:00,4560,OKAY,4560,4623
2015-07-02 03:00:00,4336,OKAY,4336,4363
2015-07-02 04:00:00,4014,OKAY,4014,4013
2015-07-02 05:00:00,3758,OKAY,3758,3699
2015-07-02 06:00:00,3545,OKAY,3545,3485
2015-07-02 07:00:00,3442,OKAY,3442,3339
2015-07-02 08:00:00,3310,OKAY,3310,3221
2015-07-02 09:00:00,3303,OKAY,3303,3172
2015-07-02 10:00:00,3445,OKAY,3445,3271
2015-07-02 11:00:00,3648,OKAY,3648,3519
2015-07-02 12:00:00,3827,OKAY,3827,3774
2015-07-02 13:00:00,3957,OKAY,3957,4009
2015-07-02 14:00:00,4144,OKAY,4144,4270
2015-07-02 15:00:00,4319,OKAY,4319,4504
2015-07-02 16:00:00,4442,OKAY,4442,4737
2015-07-02 17:00:00,4584,OKAY,4584,4928
2015-07-02 18:00:00,4706,OKAY,4706,5085
2015-07-02 19:00:00,4837,OKAY,4837,5194
2015-07-02 20:00:00,4839,OKAY,4839,5260
2015-07-02 21:00:00,4820,OKAY,4820,5263
2015-07-02 22:00:00,4888,OKAY,4888,5181
2015-07-02 23:00:00,4799,OKAY,4799,5029
2015-07-03 00:00:00,4661,OKAY,4661,4824
2015-07-03 01:00:00,4516,OKAY,4516,4676
2015-07-03 02:00:00,4463,OKAY,4463,4623
2015-07-03 03:00:00,4298,OKAY,4298,4363
2015-07-03 04:00:00,3935,OKAY,3935,4013
2015-07-03 05:00:00,3622,OKAY,3622,3699
2015-07-03 06:00:00,3447,OKAY,3447,3485
2015-07-03 07:00:00,3294,OKAY,3294,3339
2015-07-03 08:00:00,3205,OKAY,3205,3221
2015-07-03 09:00:00,3152,OKAY,3152,3172
2015-07-03 10:00:00,3182,OKAY,3182,3271
2015-07-03 11:00:00,3271,OKAY,3271,3519
2015-07-03 12:00:00,3302,OKAY,3302,3774
2015-07-03 13:00:00,3488,OKAY,3488,4009
2015-07-03 14:00:00,3677,OKAY,3677,4270
2015-07-03 15:00:00,3872,OKAY,3872,4504
