date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,444,OKAY,444,433
2015-07-02 01:00:00,425,OKAY,425,418
2015-07-02 02:00:00,413,OKAY,413,405
2015-07-02 03:00:00,378,OKAY,378,371
2015-07-02 04:00:00,340,OKAY,340,333
2015-07-02 05:00:00,307,OKAY,307,307
2015-07-02 06:00:00,286,OKAY,286,286
2015-07-02 07:00:00,270,OKAY,270,270
2015-07-02 08:00:00,260,OKAY,260,260
2015-07-02 09:00:00,257,OKAY,257,257
2015-07-02 10:00:00,264,OKAY,264,266
2015-07-02 11:00:00,283,OKAY,283,289
2015-07-02 12:00:00,305,OKAY,305,310
2015-07-02 13:00:00,329,OKAY,329,332
2015-07-02 14:00:00,358,OKAY,358,357
2015-07-02 15:00:00,391,OKAY,391,378
2015-07-02 16:00:00,415,OKAY,415,398
2015-07-02 17:00:00,401,OKAY,401,413
2015-07-02 18:00:00,405,OKAY,405,421
2015-07-02 19:00:00,381,OKAY,381,425
2015-07-02 20:00:00,362,OKAY,362,425
2015-07-02 21:00:00,354,OKAY,354,419
2015-07-02 22:00:00,341,OKAY,341,412
2015-07-02 23:00:00,335,OKAY,335,398
2015-07-03 00:00:00,329,OKAY,329,385
2015-07-03 01:00:00,328,OKAY,328,377
2015-07-03 02:00:00,328,OKAY,328,367
2015-07-03 03:00:00,309,OKAY,309,343
2015-07-03 04:00:00,287,OKAY,287,315
2015-07-03 05:00:00,264,OKAY,264,264
2015-07-03 06:00:00,248,OKAY,248,248
2015-07-03 07:00:00,238,OKAY,238,238
2015-07-03 08:00:00,233,OKAY,233,233
2015-07-03 09:00:00,231,OKAY,231,230
2015-07-03 10:00:00,237,OKAY,237,232
2015-07-03 11:00:00,246,OKAY,246,234
2015-07-03 12:00:00,253,OKAY,253,243
2015-07-03 13:00:00,277,OKAY,277,268
2015-07-03 14:00:00,314,OKAY,314,302
2015-07-03 15:00:00,351,OKAY,351,334
2015-07-03 16:00:00,384,OKAY,384,362
2015-07-03 17:00:00,410,OKAY,410,389
2015-07-03 18:00:00,437,OKAY,437,411
2015-07-03 19:00:00,458,OKAY,458,429
2015-07-03 20:00:00,472,OKAY,472,442
2015-07-03 21:00:00,480,OKAY,480,450
2015-07-03 22:00:00,482,OKAY,482,449
2015-07-03 23:00:00,466,OKAY,466,434
2015-07-04 00:00:00,436,OKAY,436,419
2015-07-04 01:00:00,414,OKAY,414,402
2015-07-04 02:00:00,400,OKAY,400,383
2015-07-04 03:00:00,369,OKAY,369,358
2015-07-04 04:00:00,336,OKAY,336,330
2015-07-04 05:00:00,307,OKAY,307,307
2015-07-04 06:00:00,285,OKAY,285,285
2015-07-04 07:00:00,269,OKAY,269,269
2015-07-04 08:00:00,257,OKAY,257,257
2015-07-04 09:00:00,250,OKAY,250,248
2015-07-04 10:00:00,248,OKAY,248,243
2015-07-04 11:00:00,248,OKAY,248,237
2015-07-04 12:00:00,251,OKAY,251,241
2015-07-04 13:00:00,273,OKAY,273,270
2015-07-04 14:00:00,306,OKAY,306,306
2015-07-04 15:00:00,335,OKAY,335,337
2015-07-04 16:00:00,361,OKAY,361,365
2015-07-04 17:00:00,393,OKAY,393,388
2015-07-04 18:00:00,421,OKAY,421,403
2015-07-04 19:00:00,432,OKAY,432,411
2015-07-04 20:00:00,399,OKAY,399,412
2015-07-04 21:00:00,370,OKAY,370,414
2015-07-04 22:00:00,347,OKAY,347,412
2015-07-04 23:00:00,325,OKAY,325,395
2015-07-05 00:00:00,311,OKAY,311,376
2015-07-05 01:00:00,304,OKAY,304,364
2015-07-05 02:00:00,301,OKAY,301,363
2015-07-05 03:00:00,294,OKAY,294,337
2015-07-05 04:00:00,282,OKAY,282,308
2015-07-05 05:00:00,263,OKAY,263,263
2015-07-05 06:00:00,247,OKAY,247,247
2015-07-05 07:00:00,235,OKAY,235,235
2015-07-05 08:00:00,227,OKAY,227,227
2015-07-05 09:00:00,222,OKAY,222,223
2015-07-05 10:00:00,222,OKAY,222,222
2015-07-05 11:00:00,222,IDENTICAL_RUN,222,222
2015-07-05 12:00:00,226,OKAY,226,227
2015-07-05 13:00:00,252,OKAY,252,253
2015-07-05 14:00:00,289,OKAY,289,287
2015-07-05 15:00:00,326,OKAY,326,316
2015-07-05 16:00:00,359,OKAY,359,340
2015-07-05 17:00:00,369,OKAY,369,362
2015-07-05 18:00:00,330,OKAY,330,377
2015-07-05 19:00:00,310,OKAY,310,386
2015-07-05 20:00:00,296,OKAY,296,391
2015-07-05 21:00:00,298,OKAY,298,397
2015-07-05 22:00:00,304,OKAY,304,395
2015-07-05 23:00:00,306,OKAY,306,382
2015-07-06 00:00:00,312,OKAY,312,366
2015-07-06 01:00:00,311,OKAY,311,356
2015-07-06 02:00:00,317,OKAY,317,349
2015-07-06 03:00:00,301,OKAY,301,327
2015-07-06 04:00:00,275,OKAY,275,301
2015-07-06 05:00:00,251,OKAY,251,251
2015-07-06 06:00:00,234,OKAY,234,234
2015-07-06 07:00:00,222,OKAY,222,222
2015-07-06 08:00:00,217,OKAY,217,217
2015-07-06 09:00:00,218,OKAY,218,218
2015-07-06 10:00:00,230,OKAY,230,230
2015-07-06 11:00:00,251,OKAY,251,255
2015-07-06 12:00:00,271,OKAY,271,276
2015-07-06 13:00:00,293,OKAY,293,295
2015-07-06 14:00:00,320,OKAY,320,319
2015-07-06 15:00:00,344,OKAY,344,344
2015-07-06 16:00:00,370,OKAY,370,369
2015-07-06 17:00:00,396,OKAY,396,386
2015-07-06 18:00:00,422,OKAY,422,397
2015-07-06 19:00:00,440,OKAY,440,412
2015-07-06 20:00:00,444,OKAY,444,417
2015-07-06 21:00:00,427,OKAY,427,422
2015-07-06 22:00:00,419,OKAY,419,417
2015-07-06 23:00:00,421,OKAY,421,401
2015-07-07 00:00:00,414,OKAY,414,387
2015-07-07 01:00:00,399,OKAY,399,376
2015-07-07 02:00:00,389,OKAY,389,369
2015-07-07 03:00:00,356,OKAY,356,340
2015-07-07 04:00:00,321,OKAY,321,306
2015-07-07 05:00:00,288,OKAY,288,288
2015-07-07 06:00:00,267,OKAY,267,267
2015-07-07 07:00:00,251,OKAY,251,251
2015-07-07 08:00:00,243,OKAY,243,243
2015-07-07 09:00:00,241,OKAY,241,241
2015-07-07 10:00:00,251,OKAY,251,251
2015-07-07 11:00:00,273,OKAY,273,273
2015-07-07 12:00:00,294,OKAY,294,294
2015-07-07 13:00:00,318,OKAY,318,317
2015-07-07 14:00:00,350,OKAY,350,344
2015-07-07 15:00:00,380,OKAY,380,371
2015-07-07 16:00:00,409,OKAY,409,396
2015-07-07 17:00:00,433,OKAY,433,417
2015-07-07 18:00:00,456,OKAY,456,436
2015-07-07 19:00:00,476,OKAY,476,453
2015-07-07 20:00:00,493,OKAY,493,464
2015-07-07 21:00:00,504,OKAY,504,465
2015-07-07 22:00:00,503,OKAY,503,455
2015-07-07 23:00:00,494,OKAY,494,434
2015-07-08 00:00:00,477,OKAY,477,415
2015-07-08 01:00:00,457,OKAY,457,399
2015-07-08 02:00:00,438,OKAY,438,390
2015-07-08 03:00:00,396,OKAY,396,359
2015-07-08 04:00:00,354,OKAY,354,323
2015-07-08 05:00:00,319,OKAY,319,319
2015-07-08 06:00:00,295,OKAY,295,295
2015-07-08 07:00:00,276,OKAY,276,276
2015-07-08 08:00:00,264,OKAY,264,264
2015-07-08 09:00:00,260,OKAY,260,261
2015-07-08 10:00:00,268,OKAY,268,270
2015-07-08 11:00:00,289,OKAY,289,291
2015-07-08 12:00:00,307,OKAY,307,311
2015-07-08 13:00:00,328,OKAY,328,333
2015-07-08 14:00:00,356,OKAY,356,360
2015-07-08 15:00:00,391,OKAY,391,388
2015-07-08 16:00:00,428,OKAY,428,415
2015-07-08 17:00:00,456,OKAY,456,436
2015-07-08 18:00:00,477,OKAY,477,453
2015-07-08 19:00:00,498,OKAY,498,462
2015-07-08 20:00:00,513,OKAY,513,463
2015-07-08 21:00:00,479,OKAY,479,457
2015-07-08 22:00:00,446,OKAY,446,443
2015-07-08 23:00:00,424,OKAY,424,421
2015-07-09 00:00:00,408,OKAY,408,404
2015-07-09 01:00:00,394,OKAY,394,392
2015-07-09 02:00:00,385,OKAY,385,384
2015-07-09 03:00:00,354,OKAY,354,353
2015-07-09 04:00:00,319,OKAY,319,320
2015-07-09 05:00:00,288,OKAY,288,288
2015-07-09 06:00:00,267,OKAY,267,267
2015-07-09 07:00:00,252,OKAY,252,252
2015-07-09 08:00:00,244,OKAY,244,244
2015-07-09 09:00:00,242,OKAY,242,242
2015-07-09 10:00:00,251,OKAY,251,252
2015-07-09 11:00:00,274,OKAY,274,276
2015-07-09 12:00:00,295,OKAY,295,297
2015-07-09 13:00:00,319,OKAY,319,318
2015-07-09 14:00:00,351,OKAY,351,344
2015-07-09 15:00:00,382,OKAY,382,372
2015-07-09 16:00:00,414,OKAY,414,401
2015-07-09 17:00:00,442,OKAY,442,422
2015-07-09 18:00:00,467,OKAY,467,440
2015-07-09 19:00:00,490,OKAY,490,453
2015-07-09 20:00:00,501,OKAY,501,462
2015-07-09 21:00:00,478,OKAY,478,459
2015-07-09 22:00:00,442,OKAY,442,451
2015-07-09 23:00:00,424,OKAY,424,434
2015-07-10 00:00:00,409,OKAY,409,417
2015-07-10 01:00:00,399,OKAY,399,404
2015-07-10 02:00:00,389,OKAY,389,396
2015-07-10 03:00:00,358,OKAY,358,364
2015-07-10 04:00:00,324,OKAY,324,328
2015-07-10 05:00:00,295,OKAY,295,295
2015-07-10 06:00:00,274,OKAY,274,274
2015-07-10 07:00:00,258,OKAY,258,258
2015-07-10 08:00:00,248,OKAY,248,248
2015-07-10 09:00:00,245,OKAY,245,246
2015-07-10 10:00:00,254,OKAY,254,255
2015-07-10 11:00:00,274,OKAY,274,275
2015-07-10 12:00:00,294,OKAY,294,296
2015-07-10 13:00:00,317,OKAY,317,320
2015-07-10 14:00:00,349,OKAY,349,350
2015-07-10 15:00:00,383,OKAY,383,382
2015-07-10 16:00:00,418,OKAY,418,413
2015-07-10 17:00:00,447,OKAY,447,440
2015-07-10 18:00:00,475,OKAY,475,464
2015-07-10 19:00:00,499,OKAY,499,484
2015-07-10 20:00:00,517,OKAY,517,498
2015-07-10 21:00:00,522,OKAY,522,499
2015-07-10 22:00:00,517,OKAY,517,484
2015-07-10 23:00:00,499,OKAY,499,458
2015-07-11 00:00:00,476,OKAY,476,433
2015-07-11 01:00:00,454,OKAY,454,413
2015-07-11 02:00:00,438,OKAY,438,403
2015-07-11 03:00:00,403,OKAY,403,374
2015-07-11 04:00:00,367,OKAY,367,341
2015-07-11 05:00:00,334,OKAY,334,334
2015-07-11 06:00:00,308,OKAY,308,308
2015-07-11 07:00:00,287,OKAY,287,287
2015-07-11 08:00:00,274,OKAY,274,274
2015-07-11 09:00:00,266,OKAY,266,265
2015-07-11 10:00:00,268,OKAY,268,262
2015-07-11 11:00:00,271,OKAY,271,259
2015-07-11 12:00:00,275,OKAY,275,264
2015-07-11 13:00:00,302,OKAY,302,291
2015-07-11 14:00:00,343,OKAY,343,331
