date_time,raw demand (MW),category,cleaned demand (MW),forecast demand (MW)
2015-07-02 00:00:00,MISSING,MISSING,121,MISSING
2015-07-02 01:00:00,MISSING,MISSING,142,MISSING
2015-07-02 02:00:00,MISSING,MISSING,142,MISSING
2015-07-02 03:00:00,MISSING,MISSING,132,MISSING
2015-07-02 04:00:00,MISSING,MISSING,133,MISSING
2015-07-02 05:00:00,MISSING,MISSING,119,MISSING
2015-07-02 06:00:00,MISSING,MISSING,115,MISSING
2015-07-02 07:00:00,MISSING,MISSING,101,MISSING
2015-07-02 08:00:00,MISSING,MISSING,99,MISSING
2015-07-02 09:00:00,MISSING,MISSING,93,MISSING
2015-07-02 10:00:00,MISSING,MISSING,91,MISSING
2015-07-02 11:00:00,MISSING,MISSING,91,MISSING
2015-07-02 12:00:00,MISSING,MISSING,92,MISSING
2015-07-02 13:00:00,MISSING,MISSING,97,MISSING
2015-07-02 14:00:00,MISSING,MISSING,102,MISSING
2015-07-02 15:00:00,MISSING,MISSING,107,MISSING
2015-07-02 16:00:00,MISSING,MISSING,111,MISSING
2015-07-02 17:00:00,MISSING,MISSING,123,MISSING
2015-07-02 18:00:00,MISSING,MISSING,127,MISSING
2015-07-02 19:00:00,MISSING,MISSING,132,MISSING
2015-07-02 20:00:00,MISSING,MISSING,131,MISSING
2015-07-02 21:00:00,MISSING,MISSING,139,MISSING
2015-07-02 22:00:00,MISSING,MISSING,137,MISSING
2015-07-02 23:00:00,MISSING,MISSING,138,MISSING
2015-07-03 00:00:00,MISSING,MISSING,139,MISSING
2015-07-03 01:00:00,MISSING,MISSING,136,MISSING
2015-07-03 02:00:00,MISSING,MISSING,131,MISSING
2015-07-03 03:00:00,MISSING,MISSING,125,MISSING
2015-07-03 04:00:00,MISSING,MISSING,121,MISSING
2015-07-03 05:00:00,MISSING,MISSING,111,MISSING
2015-07-03 06:00:00,MISSING,MISSING,103,MISSING
2015-07-03 07:00:00,MISSING,MISSING,100,MISSING
2015-07-03 08:00:00,MISSING,MISSING,91,MISSING
2015-07-03 09:00:00,MISSING,MISSING,88,MISSING
2015-07-03 10:00:00,MISSING,MISSING,86,MISSING
2015-07-03 11:00:00,MISSING,MISSING,83,MISSING
2015-07-03 12:00:00,MISSING,MISSING,88,MISSING
2015-07-03 13:00:00,MISSING,MISSING,88,MISSING
2015-07-03 14:00:00,MISSING,MISSING,90,MISSING
2015-07-03 15:00:00,MISSING,MISSING,95,MISSING
2015-07-03 16:00:00,MISSING,MISSING,106,MISSING
2015-07-03 17:00:00,MISSING,MISSING,109,MISSING
2015-07-03 18:00:00,MISSING,MISSING,118,MISSING
2015-07-03 19:00:00,MISSING,MISSING,117,MISSING
2015-07-03 20:00:00,MISSING,MISSING,126,MISSING
2015-07-03 21:00:00,MISSING,MISSING,127,MISSING
2015-07-03 22:00:00,MISSING,MISSING,121,MISSING
2015-07-03 23:00:00,MISSING,MISSING,132,MISSING
2015-07-04 00:00:00,MISSING,MISSING,126,MISSING
2015-07-04 01:00:00,MISSING,MISSING,132,MISSING
2015-07-04 02:00:00,MISSING,MISSING,128,MISSING
2015-07-04 03:00:00,MISSING,MISSING,123,MISSING
2015-07-04 04:00:00,MISSING,MISSING,116,MISSING
2015-07-04 05:00:00,MISSING,MISSING,111,MISSING
2015-07-04 06:00:00,MISSING,MISSING,103,MISSING
2015-07-04 07:00:00,MISSING,MISSING,93,MISSING
2015-07-04 08:00:00,MISSING,MISSING,88,MISSING
2015-07-04 09:00:00,MISSING,MISSING,86,MISSING
2015-07-04 10:00:00,MISSING,MISSING,87,MISSING
2015-07-04 11:00:00,MISSING,MISSING,84,MISSING
2015-07-04 12:00:00,MISSING,MISSING,82,MISSING
2015-07-04 13:00:00,MISSING,MISSING,85,MISSING
2015-07-04 14:00:00,MISSING,MISSING,92,MISSING
2015-07-04 15:00:00,MISSING,MISSING,93,MISSING
2015-07-04 16:00:00,MISSING,MISSING,101,MISSING
2015-07-04 17:00:00,MISSING,MISSING,109,MISSING
2015-07-04 18:00:00,MISSING,MISSING,110,MISSING
2015-07-04 19:00:00,MISSING,MISSING,112,MISSING
2015-07-04 20:00:00,MISSING,MISSING,116,MISSING
2015-07-04 21:00:00,MISSING,MISSING,122,MISSING
2015-07-04 22:00:00,MISSING,MISSING,126,MISSING
2015-07-04 23:00:00,MISSING,MISSING,126,MISSING
2015-07-05 00:00:00,MISSING,MISSING,126,MISSING
2015-07-05 01:00:00,MISSING,MISSING,126,MISSING
2015-07-05 02:00:00,MISSING,MISSING,121,MISSING
2015-07-05 03:00:00,MISSING,MISSING,117,MISSING
2015-07-05 04:00:00,MISSING,MISSING,111,MISSING
2015-07-05 05:00:00,MISSING,MISSING,108,MISSING
2015-07-05 06:00:00,MISSING,MISSING,98,MISSING
2015-07-05 07:00:00,MISSING,MISSING,94,MISSING
