date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,51756.0,51756
2015-07-02 01:00:00,50171.0,50171
2015-07-02 02:00:00,48655.0,48655
2015-07-02 03:00:00,47667.0,47667
2015-07-02 04:00:00,44629.0,44629
2015-07-02 05:00:00,40754.0,40754
2015-07-02 06:00:00,37547.0,37547
2015-07-02 07:00:00,35199.0,35199
2015-07-02 08:00:00,33637.0,33637
2015-07-02 09:00:00,32759.0,32759
2015-07-02 10:00:00,32536.0,32536
2015-07-02 11:00:00,33527.0,33527
2015-07-02 12:00:00,35196.0,35196
2015-07-02 13:00:00,36637.0,36637
2015-07-02 14:00:00,39221.0,39221
2015-07-02 15:00:00,42398.0,42398
2015-07-02 16:00:00,45675.0,45675
2015-07-02 17:00:00,48667.0,48667
2015-07-02 18:00:00,51260.0,51260
2015-07-02 19:00:00,53719.0,53719
2015-07-02 20:00:00,55525.0,55525
2015-07-02 21:00:00,56836.0,56836
2015-07-02 22:00:00,57505.0,57505
2015-07-02 23:00:00,56807.0,56807
2015-07-03 00:00:00,55044.0,55044
2015-07-03 01:00:00,52776.0,52776
2015-07-03 02:00:00,50986.0,50986
2015-07-03 03:00:00,49845.0,49845
2015-07-03 04:00:00,46817.0,46817
2015-07-03 05:00:00,43307.0,43307
2015-07-03 06:00:00,40173.0,40173
2015-07-03 07:00:00,37954.0,37954
2015-07-03 08:00:00,36353.0,36353
2015-07-03 09:00:00,35346.0,35346
2015-07-03 10:00:00,34981.0,34981
2015-07-03 11:00:00,35402.0,35402
2015-07-03 12:00:00,35919.0,35919
2015-07-03 13:00:00,36447.0,36447
2015-07-03 14:00:00,38820.0,38820
2015-07-03 15:00:00,42009.0,42009
2015-07-03 16:00:00,45201.0,45201
2015-07-03 17:00:00,48116.0,48116
2015-07-03 18:00:00,50501.0,50501
2015-07-03 19:00:00,52232.0,52232
2015-07-03 20:00:00,53443.0,53443
2015-07-03 21:00:00,54180.0,54180
2015-07-03 22:00:00,54510.0,54510
2015-07-03 23:00:00,54028.0,54028
2015-07-04 00:00:00,52732.0,52732
2015-07-04 01:00:00,50673.0,50673
2015-07-04 02:00:00,49028.0,49028
2015-07-04 03:00:00,47940.0,47940
2015-07-04 04:00:00,45385.0,45385
2015-07-04 05:00:00,42470.0,42470
2015-07-04 06:00:00,39566.0,39566
2015-07-04 07:00:00,37379.0,37379
2015-07-04 08:00:00,35757.0,35757
2015-07-04 09:00:00,34698.0,34698
2015-07-04 10:00:00,34057.0,34057
2015-07-04 11:00:00,33939.0,33939
2015-07-04 12:00:00,33910.0,33910
2015-07-04 13:00:00,34456.0,34456
2015-07-04 14:00:00,37333.0,37333
2015-07-04 15:00:00,41075.0,41075
2015-07-04 16:00:00,45018.0,45018
2015-07-04 17:00:00,48470.0,48470
2015-07-04 18:00:00,51173.0,51173
2015-07-04 19:00:00,52980.0,52980
2015-07-04 20:00:00,54226.0,54226
