date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,101317.0,120867
2015-07-02 01:00:00,102346.0,123074
2015-07-02 02:00:00,100238.0,120461
2015-07-02 03:00:00,97860.0,117765
2015-07-02 04:00:00,95872.0,115168
2015-07-02 05:00:00,92663.0,111343
2015-07-02 06:00:00,143214.0,105245
2015-07-02 07:00:00,80524.0,96876
2015-07-02 08:00:00,84109.0,89490
2015-07-02 09:00:00,79336.0,84403
2015-07-02 10:00:00,75788.0,80686
2015-07-02 11:00:00,73928.0,78718
2015-07-02 12:00:00,73604.0,78492
2015-07-02 13:00:00,74330.0,80641
2015-07-02 14:00:00,77525.0,84207
2015-07-02 15:00:00,82716.0,89897
2015-07-02 16:00:00,88517.0,96298
2015-07-02 17:00:00,93395.0,101538
2015-07-02 18:00:00,97741.0,106245
2015-07-02 19:00:00,101862.0,110419
2015-07-02 20:00:00,105394.0,114455
2015-07-02 21:00:00,108843.0,117899
2015-07-02 22:00:00,112000.0,121216
2015-07-02 23:00:00,114378.0,123332
2015-07-03 00:00:00,109559.0,124720
2015-07-03 01:00:00,110939.0,124011
2015-07-03 02:00:00,108598.0,121328
2015-07-03 03:00:00,104864.0,117187
2015-07-03 04:00:00,101558.0,113333
2015-07-03 05:00:00,98213.0,109222
2015-07-03 06:00:00,92475.0,102918
2015-07-03 07:00:00,85014.0,94826
2015-07-03 08:00:00,83141.0,88172
2015-07-03 09:00:00,78160.0,82833
2015-07-03 10:00:00,74612.0,79148
2015-07-03 11:00:00,72351.0,76798
2015-07-03 12:00:00,71734.0,76172
2015-07-03 13:00:00,70799.0,76445
2015-07-03 14:00:00,72047.0,78014
2015-07-03 15:00:00,75008.0,81391
2015-07-03 16:00:00,79059.0,86079
2015-07-03 17:00:00,83840.0,91035
2015-07-03 18:00:00,88136.0,95595
2015-07-03 19:00:00,92006.0,99789
2015-07-03 20:00:00,95408.0,103386
2015-07-03 21:00:00,98976.0,107040
2015-07-03 22:00:00,102243.0,110639
2015-07-03 23:00:00,105024.0,113242
2015-07-04 00:00:00,102749.0,116108
2015-07-04 01:00:00,105290.0,117149
2015-07-04 02:00:00,103985.0,115585
2015-07-04 03:00:00,101393.0,112653
2015-07-04 04:00:00,98128.0,109045
2015-07-04 05:00:00,94912.0,105285
2015-07-04 06:00:00,90012.0,99920
2015-07-04 07:00:00,83748.0,92864
2015-07-04 08:00:00,81348.0,86297
2015-07-04 09:00:00,76264.0,80947
2015-07-04 10:00:00,72736.0,77143
2015-07-04 11:00:00,70751.0,75185
2015-07-04 12:00:00,69450.0,73810
2015-07-04 13:00:00,67609.0,73099
2015-07-04 14:00:00,68455.0,74042
2015-07-04 15:00:00,70739.0,76599
2015-07-04 16:00:00,75149.0,81331
2015-07-04 17:00:00,80241.0,86846
2015-07-04 18:00:00,85079.0,92070
2015-07-04 19:00:00,88794.0,96036
2015-07-04 20:00:00,92238.0,99771
2015-07-04 21:00:00,95354.0,102909
2015-07-04 22:00:00,97872.0,105646
2015-07-04 23:00:00,99597.0,107351
2015-07-05 00:00:00,94919.0,108364
2015-07-05 01:00:00,96173.0,107706
2015-07-05 02:00:00,94689.0,106117
2015-07-05 03:00:00,91923.0,102789
2015-07-05 04:00:00,88831.0,99321
2015-07-05 05:00:00,85767.0,95880
2015-07-05 06:00:00,82236.0,91738
2015-07-05 07:00:00,78671.0,87670
2015-07-05 08:00:00,77971.0,82818
2015-07-05 09:00:00,73635.0,78327
2015-07-05 10:00:00,70645.0,75163
2015-07-05 11:00:00,68536.0,73043
2015-07-05 12:00:00,67578.0,72000
2015-07-05 13:00:00,66056.0,71589
2015-07-05 14:00:00,66389.0,72002
2015-07-05 15:00:00,68475.0,74341
2015-07-05 16:00:00,72528.0,78701
2015-07-05 17:00:00,77211.0,83707
2015-07-05 18:00:00,81484.0,88307
2015-07-05 19:00:00,85205.0,92348
2015-07-05 20:00:00,88465.0,95982
2015-07-05 21:00:00,90601.0,98200
2015-07-05 22:00:00,91693.0,99634
2015-07-05 23:00:00,92905.0,101024
2015-07-06 00:00:00,89410.0,102790
2015-07-06 01:00:00,91673.0,103548
2015-07-06 02:00:00,91452.0,103017
2015-07-06 03:00:00,90302.0,101688
2015-07-06 04:00:00,88652.0,99580
2015-07-06 05:00:00,86402.0,96708
2015-07-06 06:00:00,81876.0,91491
2015-07-06 07:00:00,75924.0,84837
2015-07-06 08:00:00,74358.0,79122
2015-07-06 09:00:00,70326.0,75099
2015-07-06 10:00:00,68424.0,73136
2015-07-06 11:00:00,67222.0,71930
2015-07-06 12:00:00,67813.0,72451
2015-07-06 13:00:00,68814.0,74722
2015-07-06 14:00:00,72371.0,78771
2015-07-06 15:00:00,76949.0,83801
2015-07-06 16:00:00,81837.0,89148
2015-07-06 17:00:00,86113.0,93830
2015-07-06 18:00:00,89848.0,97976
2015-07-06 19:00:00,93369.0,101746
2015-07-06 20:00:00,95803.0,104438
2015-07-06 21:00:00,98172.0,106763
2015-07-06 22:00:00,100495.0,109261
2015-07-06 23:00:00,102301.0,110996
2015-07-07 00:00:00,97702.0,112088
2015-07-07 01:00:00,99669.0,112257
2015-07-07 02:00:00,98157.0,110596
2015-07-07 03:00:00,95728.0,107636
2015-07-07 04:00:00,93339.0,104707
2015-07-07 05:00:00,90271.0,100988
2015-07-07 06:00:00,85272.0,95296
2015-07-07 07:00:00,78281.0,87728
2015-07-07 08:00:00,76468.0,81361
2015-07-07 09:00:00,72553.0,77235
2015-07-07 10:00:00,70302.0,74936
2015-07-07 11:00:00,68933.0,73377
2015-07-07 12:00:00,69154.0,73704
2015-07-07 13:00:00,69902.0,75715
2015-07-07 14:00:00,73558.0,79626
2015-07-07 15:00:00,78159.0,84543
2015-07-07 16:00:00,82613.0,89392
2015-07-07 17:00:00,86370.0,93289
2015-07-07 18:00:00,89749.0,96944
2015-07-07 19:00:00,93117.0,100567
2015-07-07 20:00:00,95532.0,103145
2015-07-07 21:00:00,97381.0,105184
2015-07-07 22:00:00,99943.0,107880
2015-07-07 23:00:00,101657.0,109572
2015-07-08 00:00:00,96898.0,110882
2015-07-08 01:00:00,98993.0,111142
2015-07-08 02:00:00,97474.0,109206
2015-07-08 03:00:00,95178.0,106509
2015-07-08 04:00:00,93001.0,104034
2015-07-08 05:00:00,89829.0,100054
2015-07-08 06:00:00,84782.0,94431
2015-07-08 07:00:00,78132.0,87034
2015-07-08 08:00:00,76348.0,80945
2015-07-08 09:00:00,72227.0,76698
2015-07-08 10:00:00,69441.0,73859
2015-07-08 11:00:00,67986.0,72351
2015-07-08 12:00:00,68442.0,72882
2015-07-08 13:00:00,69187.0,74896
2015-07-08 14:00:00,71920.0,77801
2015-07-08 15:00:00,76177.0,82402
2015-07-08 16:00:00,80438.0,87082
2015-07-08 17:00:00,84343.0,91104
2015-07-08 18:00:00,87714.0,94746
2015-07-08 19:00:00,90826.0,98157
2015-07-08 20:00:00,92995.0,100466
2015-07-08 21:00:00,94787.0,102418
2015-07-08 22:00:00,96545.0,104368
2015-07-08 23:00:00,97896.0,105680
2015-07-09 00:00:00,93050.0,106810
2015-07-09 01:00:00,95046.0,106836
2015-07-09 02:00:00,93881.0,105502
2015-07-09 03:00:00,92042.0,103200
2015-07-09 04:00:00,90162.0,100844
2015-07-09 05:00:00,87851.0,97971
2015-07-09 06:00:00,82943.0,92201
2015-07-09 07:00:00,76475.0,85191
2015-07-09 08:00:00,74653.0,79192
2015-07-09 09:00:00,70682.0,75183
2015-07-09 10:00:00,68196.0,72581
2015-07-09 11:00:00,67227.0,71661
2015-07-09 12:00:00,67646.0,72193
2015-07-09 13:00:00,68021.0,73865
2015-07-09 14:00:00,70756.0,76961
2015-07-09 15:00:00,74642.0,81111
2015-07-09 16:00:00,78879.0,85761
2015-07-09 17:00:00,82627.0,89781
2015-07-09 18:00:00,85847.0,93208
2015-07-09 19:00:00,88224.0,95710
2015-07-09 20:00:00,90320.0,97997
2015-07-09 21:00:00,91801.0,99617
2015-07-09 22:00:00,93349.0,101143
2015-07-09 23:00:00,94087.0,101922
2015-07-10 00:00:00,88946.0,102006
2015-07-10 01:00:00,90192.0,101536
2015-07-10 02:00:00,89249.0,100190
2015-07-10 03:00:00,87727.0,98335
2015-07-10 04:00:00,86527.0,96815
2015-07-10 05:00:00,84724.0,94395
2015-07-10 06:00:00,80391.0,89407
2015-07-10 07:00:00,74622.0,83048
2015-07-10 08:00:00,73515.0,78226
2015-07-10 09:00:00,70129.0,74693
2015-07-10 10:00:00,67804.0,72354
2015-07-10 11:00:00,66543.0,71019
2015-07-10 12:00:00,66772.0,71362
2015-07-10 13:00:00,67371.0,73185
2015-07-10 14:00:00,70534.0,76626
2015-07-10 15:00:00,74642.0,81088
2015-07-10 16:00:00,78944.0,85795
2015-07-10 17:00:00,82480.0,89399
2015-07-10 18:00:00,84991.0,92159
2015-07-10 19:00:00,87115.0,94275
2015-07-10 20:00:00,88752.0,96121
2015-07-10 21:00:00,90257.0,97718
2015-07-10 22:00:00,91465.0,98769
2015-07-10 23:00:00,92344.0,99604
2015-07-11 00:00:00,92940.0,100299
2015-07-11 01:00:00,94289.0,99769
2015-07-11 02:00:00,93060.0,98523
2015-07-11 03:00:00,91173.0,96554
2015-07-11 04:00:00,89956.0,95268
2015-07-11 05:00:00,88094.0,93321
2015-07-11 06:00:00,83851.0,88923
2015-07-11 07:00:00,78340.0,83118
2015-07-11 08:00:00,73563.0,78047
2015-07-11 09:00:00,70089.0,74382
2015-07-11 10:00:00,67170.0,71458
2015-07-11 11:00:00,65356.0,69539
2015-07-11 12:00:00,64835.0,69090
2015-07-11 13:00:00,63974.0,69188
2015-07-11 14:00:00,65311.0,70649
2015-07-11 15:00:00,68086.0,73802
2015-07-11 16:00:00,72291.0,78243
2015-07-11 17:00:00,76498.0,82790
2015-07-11 18:00:00,80359.0,86782
2015-07-11 19:00:00,83245.0,89758
2015-07-11 20:00:00,85323.0,92094
2015-07-11 21:00:00,87199.0,93932
2015-07-11 22:00:00,89172.0,95897
2015-07-11 23:00:00,90434.0,97358
2015-07-12 00:00:00,86206.0,98571
2015-07-12 01:00:00,87818.0,98669
2015-07-12 02:00:00,87043.0,97663
2015-07-12 03:00:00,85296.0,95739
2015-07-12 04:00:00,83916.0,93875
2015-07-12 05:00:00,82175.0,91697
2015-07-12 06:00:00,78515.0,87590
2015-07-12 07:00:00,73398.0,81952
2015-07-12 08:00:00,72330.0,76747
