date_time,raw demand (MW),cleaned demand (MW)
2015-07-02 00:00:00,39371.0,54401
2015-07-02 01:00:00,40728.0,55876
2015-07-02 02:00:00,39855.0,54621
2015-07-02 03:00:00,38871.0,53480
2015-07-02 04:00:00,37992.0,52226
2015-07-02 05:00:00,35995.0,49868
2015-07-02 06:00:00,89198.0,46766
2015-07-02 07:00:00,30977.0,43186
2015-07-02 08:00:00,34732.0,40113
2015-07-02 09:00:00,33096.0,38163
2015-07-02 10:00:00,31872.0,36770
2015-07-02 11:00:00,31319.0,36109
2015-07-02 12:00:00,31405.0,36293
2015-07-02 13:00:00,31252.0,37563
2015-07-02 14:00:00,32879.0,39561
2015-07-02 15:00:00,35130.0,42311
2015-07-02 16:00:00,37254.0,45035
2015-07-02 17:00:00,38950.0,47093
2015-07-02 18:00:00,40659.0,49163
2015-07-02 19:00:00,42224.0,50781
2015-07-02 20:00:00,43594.0,52655
2015-07-02 21:00:00,44773.0,53829
2015-07-02 22:00:00,45617.0,54833
2015-07-02 23:00:00,46323.0,55277
2015-07-03 00:00:00,46429.0,55420
2015-07-03 01:00:00,47780.0,54526
2015-07-03 02:00:00,46672.0,53349
2015-07-03 03:00:00,45170.0,51632
2015-07-03 04:00:00,44084.0,50372
2015-07-03 05:00:00,42536.0,48345
2015-07-03 06:00:00,39649.0,45205
2015-07-03 07:00:00,36199.0,41603
2015-07-03 08:00:00,34171.0,39202
2015-07-03 09:00:00,32344.0,37017
2015-07-03 10:00:00,31192.0,35728
2015-07-03 11:00:00,30584.0,35031
2015-07-03 12:00:00,30435.0,34873
2015-07-03 13:00:00,29503.0,35149
2015-07-03 14:00:00,30527.0,36494
2015-07-03 15:00:00,32514.0,38897
2015-07-03 16:00:00,34820.0,41840
2015-07-03 17:00:00,37005.0,44200
2015-07-03 18:00:00,38968.0,46427
2015-07-03 19:00:00,40625.0,48408
2015-07-03 20:00:00,41862.0,49840
2015-07-03 21:00:00,43090.0,51154
2015-07-03 22:00:00,43957.0,52353
2015-07-03 23:00:00,44632.0,52850
2015-07-04 00:00:00,45255.0,53543
2015-07-04 01:00:00,46750.0,53152
2015-07-04 02:00:00,45749.0,52051
2015-07-04 03:00:00,44507.0,50653
2015-07-04 04:00:00,43194.0,49184
2015-07-04 05:00:00,41708.0,47396
2015-07-04 06:00:00,39215.0,44757
2015-07-04 07:00:00,36419.0,41526
2015-07-04 08:00:00,33904.0,38853
2015-07-04 09:00:00,31834.0,36517
2015-07-04 10:00:00,30645.0,35052
2015-07-04 11:00:00,29995.0,34429
2015-07-04 12:00:00,29634.0,33994
2015-07-04 13:00:00,28355.0,33845
2015-07-04 14:00:00,29126.0,34713
2015-07-04 15:00:00,30654.0,36514
2015-07-04 16:00:00,32792.0,38974
2015-07-04 17:00:00,34797.0,41402
2015-07-04 18:00:00,36775.0,43766
2015-07-04 19:00:00,38195.0,45437
2015-07-04 20:00:00,39383.0,46916
2015-07-04 21:00:00,40392.0,47947
2015-07-04 22:00:00,41079.0,48853
2015-07-04 23:00:00,41445.0,49199
2015-07-05 00:00:00,41273.0,49212
2015-07-05 01:00:00,42395.0,48493
2015-07-05 02:00:00,41453.0,47575
2015-07-05 03:00:00,39903.0,45784
2015-07-05 04:00:00,38780.0,44505
2015-07-05 05:00:00,37459.0,43002
2015-07-05 06:00:00,35931.0,41165
2015-07-05 07:00:00,34278.0,39232
2015-07-05 08:00:00,32238.0,37085
2015-07-05 09:00:00,30470.0,35162
2015-07-05 10:00:00,29503.0,34021
2015-07-05 11:00:00,28898.0,33405
2015-07-05 12:00:00,28635.0,33057
2015-07-05 13:00:00,27447.0,32980
2015-07-05 14:00:00,27882.0,33495
2015-07-05 15:00:00,29475.0,35341
2015-07-05 16:00:00,31689.0,37862
2015-07-05 17:00:00,33825.0,40321
2015-07-05 18:00:00,35527.0,42350
2015-07-05 19:00:00,37071.0,44214
2015-07-05 20:00:00,38442.0,45959
2015-07-05 21:00:00,39057.0,46656
2015-07-05 22:00:00,39444.0,47385
2015-07-05 23:00:00,39613.0,47732
2015-07-06 00:00:00,39536.0,47912
2015-07-06 01:00:00,40964.0,47753
2015-07-06 02:00:00,40610.0,47247
2015-07-06 03:00:00,39990.0,46515
2015-07-06 04:00:00,39300.0,45564
2015-07-06 05:00:00,38061.0,43902
2015-07-06 06:00:00,35599.0,41121
2015-07-06 07:00:00,32891.0,38117
2015-07-06 08:00:00,31043.0,35807
2015-07-06 09:00:00,29581.0,34354
2015-07-06 10:00:00,28908.0,33620
2015-07-06 11:00:00,28675.0,33383
2015-07-06 12:00:00,29281.0,33919
2015-07-06 13:00:00,29510.0,35418
2015-07-06 14:00:00,31270.0,37670
2015-07-06 15:00:00,33229.0,40081
2015-07-06 16:00:00,35049.0,42360
2015-07-06 17:00:00,36559.0,44276
2015-07-06 18:00:00,38005.0,46133
2015-07-06 19:00:00,39115.0,47492
2015-07-06 20:00:00,40218.0,48853
2015-07-06 21:00:00,40988.0,49579
2015-07-06 22:00:00,41475.0,50241
2015-07-06 23:00:00,41654.0,50349
2015-07-07 00:00:00,41598.0,50311
2015-07-07 01:00:00,43147.0,50011
2015-07-07 02:00:00,42174.0,48943
2015-07-07 03:00:00,40797.0,47306
2015-07-07 04:00:00,39902.0,46208
2015-07-07 05:00:00,38357.0,44340
2015-07-07 06:00:00,36026.0,41705
2015-07-07 07:00:00,33056.0,38445
2015-07-07 08:00:00,30957.0,35850
2015-07-07 09:00:00,29643.0,34325
2015-07-07 10:00:00,28880.0,33514
2015-07-07 11:00:00,28626.0,33070
2015-07-07 12:00:00,29131.0,33681
2015-07-07 13:00:00,29363.0,35176
2015-07-07 14:00:00,31059.0,37127
2015-07-07 15:00:00,32915.0,39299
2015-07-07 16:00:00,34592.0,41371
2015-07-07 17:00:00,35945.0,42864
2015-07-07 18:00:00,37268.0,44463
2015-07-07 19:00:00,38476.0,45926
2015-07-07 20:00:00,39598.0,47211
2015-07-07 21:00:00,40303.0,48106
2015-07-07 22:00:00,40903.0,48840
2015-07-07 23:00:00,41073.0,48988
2015-07-08 00:00:00,41045.0,48930
2015-07-08 01:00:00,42692.0,48827
2015-07-08 02:00:00,41825.0,47738
2015-07-08 03:00:00,40843.0,46735
2015-07-08 04:00:00,40148.0,45945
2015-07-08 05:00:00,38487.0,43910
2015-07-08 06:00:00,35987.0,41317
2015-07-08 07:00:00,33197.0,38060
2015-07-08 08:00:00,31187.0,35784
2015-07-08 09:00:00,29750.0,34221
2015-07-08 10:00:00,28951.0,33369
2015-07-08 11:00:00,28653.0,33018
2015-07-08 12:00:00,29283.0,33723
2015-07-08 13:00:00,29320.0,35029
2015-07-08 14:00:00,30880.0,36761
2015-07-08 15:00:00,32991.0,39216
2015-07-08 16:00:00,34322.0,40966
2015-07-08 17:00:00,35701.0,42462
2015-07-08 18:00:00,36803.0,43835
2015-07-08 19:00:00,37803.0,45134
2015-07-08 20:00:00,38726.0,46197
2015-07-08 21:00:00,39401.0,47032
2015-07-08 22:00:00,39946.0,47769
2015-07-08 23:00:00,40376.0,48160
2015-07-09 00:00:00,40571.0,48655
2015-07-09 01:00:00,42197.0,48485
2015-07-09 02:00:00,41354.0,47607
2015-07-09 03:00:00,40372.0,46395
2015-07-09 04:00:00,39479.0,45310
2015-07-09 05:00:00,37957.0,43594
2015-07-09 06:00:00,35365.0,40573
2015-07-09 07:00:00,32664.0,37540
2015-07-09 08:00:00,30632.0,35171
2015-07-09 09:00:00,29417.0,33918
2015-07-09 10:00:00,28676.0,33061
2015-07-09 11:00:00,28414.0,32848
2015-07-09 12:00:00,28965.0,33512
2015-07-09 13:00:00,28958.0,34802
2015-07-09 14:00:00,30542.0,36747
2015-07-09 15:00:00,32371.0,38840
2015-07-09 16:00:00,33893.0,40775
2015-07-09 17:00:00,35207.0,42361
2015-07-09 18:00:00,36477.0,43838
2015-07-09 19:00:00,37553.0,45039
2015-07-09 20:00:00,38620.0,46297
2015-07-09 21:00:00,39426.0,47242
2015-07-09 22:00:00,39949.0,47743
2015-07-09 23:00:00,40137.0,47972
2015-07-10 00:00:00,39771.0,47682
2015-07-10 01:00:00,40947.0,47248
2015-07-10 02:00:00,40477.0,46530
2015-07-10 03:00:00,39536.0,45471
2015-07-10 04:00:00,38863.0,44634
2015-07-10 05:00:00,37376.0,42828
2015-07-10 06:00:00,34850.0,40009
2015-07-10 07:00:00,32213.0,37148
2015-07-10 08:00:00,30722.0,35433
2015-07-10 09:00:00,29627.0,34191
2015-07-10 10:00:00,28906.0,33456
2015-07-10 11:00:00,28575.0,33051
2015-07-10 12:00:00,28992.0,33582
2015-07-10 13:00:00,28833.0,34647
2015-07-10 14:00:00,30313.0,36405
2015-07-10 15:00:00,32178.0,38624
2015-07-10 16:00:00,33852.0,40703
2015-07-10 17:00:00,35019.0,41938
2015-07-10 18:00:00,35430.0,42598
2015-07-10 19:00:00,36223.0,43383
2015-07-10 20:00:00,36815.0,44184
2015-07-10 21:00:00,37533.0,44994
2015-07-10 22:00:00,38045.0,45349
2015-07-10 23:00:00,38294.0,45554
2015-07-11 00:00:00,38337.0,45696
2015-07-11 01:00:00,39606.0,45086
2015-07-11 02:00:00,38686.0,44149
2015-07-11 03:00:00,37661.0,43042
2015-07-11 04:00:00,37312.0,42624
2015-07-11 05:00:00,36084.0,41311
2015-07-11 06:00:00,33800.0,38872
2015-07-11 07:00:00,31556.0,36334
2015-07-11 08:00:00,29841.0,34325
2015-07-11 09:00:00,28542.0,32835
2015-07-11 10:00:00,27746.0,32034
2015-07-11 11:00:00,27255.0,31438
2015-07-11 12:00:00,27337.0,31592
2015-07-11 13:00:00,26604.0,31818
2015-07-11 14:00:00,27466.0,32804
2015-07-11 15:00:00,29161.0,34877
2015-07-11 16:00:00,31137.0,37089
2015-07-11 17:00:00,32636.0,38928
2015-07-11 18:00:00,33733.0,40156
2015-07-11 19:00:00,34506.0,41019
2015-07-11 20:00:00,35086.0,41857
2015-07-11 21:00:00,35655.0,42388
2015-07-11 22:00:00,36205.0,42930
2015-07-11 23:00:00,36593.0,43517
2015-07-12 00:00:00,36718.0,43679
2015-07-12 01:00:00,37686.0,43197
2015-07-12 02:00:00,36874.0,42344
2015-07-12 03:00:00,35897.0,41406
2015-07-12 04:00:00,35572.0,40906
2015-07-12 05:00:00,34495.0,39712
2015-07-12 06:00:00,32611.0,37641
2015-07-12 07:00:00,30527.0,35339
2015-07-12 08:00:00,28891.0,33308
2015-07-12 09:00:00,27834.0,32224
2015-07-12 10:00:00,27117.0,31330
2015-07-12 11:00:00,26631.0,30808
2015-07-12 12:00:00,26609.0,30761
2015-07-12 13:00:00,25880.0,31040
2015-07-12 14:00:00,26523.0,31775
2015-07-12 15:00:00,28053.0,33524
2015-07-12 16:00:00,29748.0,35790
2015-07-12 17:00:00,31451.0,37622
2015-07-12 18:00:00,32926.0,39508
2015-07-12 19:00:00,34129.0,40955
2015-07-12 20:00:00,35168.0,42085
2015-07-12 21:00:00,36177.0,43347
2015-07-12 22:00:00,37177.0,44440
2015-07-12 23:00:00,38172.0,45403
2015-07-13 00:00:00,38873.0,46229
2015-07-13 01:00:00,40137.0,46155
2015-07-13 02:00:00,39542.0,45616
2015-07-13 03:00:00,38767.0,44604
2015-07-13 04:00:00,38151.0,43800
2015-07-13 05:00:00,36709.0,42148
2015-07-13 06:00:00,34154.0,39404
2015-07-13 07:00:00,31579.0,36599
2015-07-13 08:00:00,29696.0,34432
2015-07-13 09:00:00,28497.0,33025
2015-07-13 10:00:00,27820.0,32159
2015-07-13 11:00:00,27690.0,32115
2015-07-13 12:00:00,28368.0,32902
2015-07-13 13:00:00,28594.0,34348
2015-07-13 14:00:00,30425.0,36629
2015-07-13 15:00:00,32646.0,39331
2015-07-13 16:00:00,34533.0,41447
2015-07-13 17:00:00,36203.0,43478
2015-07-13 18:00:00,37590.0,45161
2015-07-13 19:00:00,38786.0,46566
2015-07-13 20:00:00,40016.0,47979
2015-07-13 21:00:00,40871.0,49219
2015-07-13 22:00:00,41311.0,49618
2015-07-13 23:00:00,41570.0,50131
2015-07-14 00:00:00,41305.0,49744
2015-07-14 01:00:00,42252.0,48992
2015-07-14 02:00:00,41392.0,48072
2015-07-14 03:00:00,39849.0,46366
2015-07-14 04:00:00,39149.0,45429
2015-07-14 05:00:00,37511.0,43386
2015-07-14 06:00:00,34666.0,40372
2015-07-14 07:00:00,31937.0,37097
2015-07-14 08:00:00,30082.0,35071
2015-07-14 09:00:00,28867.0,33619
2015-07-14 10:00:00,28168.0,32714
2015-07-14 11:00:00,27893.0,32567
2015-07-14 12:00:00,28443.0,33148
2015-07-14 13:00:00,28653.0,34466
2015-07-14 14:00:00,30447.0,36534
2015-07-14 15:00:00,32472.0,38964
2015-07-14 16:00:00,34354.0,41373
2015-07-14 17:00:00,35958.0,43164
2015-07-14 18:00:00,37263.0,44799
2015-07-14 19:00:00,38583.0,46421
2015-07-14 20:00:00,40120.0,48137
2015-07-14 21:00:00,40790.0,49188
2015-07-14 22:00:00,41518.0,49889
2015-07-14 23:00:00,41657.0,50408
2015-07-15 00:00:00,41493.0,50126
2015-07-15 01:00:00,42576.0,49433
2015-07-15 02:00:00,41701.0,48499
2015-07-15 03:00:00,40488.0,47008
2015-07-15 04:00:00,39395.0,45914
2015-07-15 05:00:00,37570.0,43697
2015-07-15 06:00:00,34984.0,40834
2015-07-15 07:00:00,26597.0,37364
2015-07-15 08:00:00,23427.0,35096
2015-07-15 09:00:00,22470.0,33656
2015-07-15 10:00:00,21969.0,32857
2015-07-15 11:00:00,21767.0,32752
2015-07-15 12:00:00,22035.0,33293
2015-07-15 13:00:00,21803.0,34577
2015-07-15 14:00:00,23153.0,36726
2015-07-15 15:00:00,24703.0,39000
2015-07-15 16:00:00,25891.0,40815
2015-07-15 17:00:00,26997.0,42318
2015-07-15 18:00:00,27892.0,43793
2015-07-15 19:00:00,28793.0,45374
2015-07-15 20:00:00,29676.0,46592
2015-07-15 21:00:00,30373.0,47572
2015-07-15 22:00:00,31095.0,48596
2015-07-15 23:00:00,31466.0,49120
2015-07-16 00:00:00,31234.0,48818
2015-07-16 01:00:00,32563.0,48529
2015-07-16 02:00:00,31997.0,47609
2015-07-16 03:00:00,31183.0,46372
2015-07-16 04:00:00,30274.0,45044
2015-07-16 05:00:00,29048.0,42866
2015-07-16 06:00:00,26819.0,39869
2015-07-16 07:00:00,24812.0,37053
2015-07-16 08:00:00,23313.0,34920
2015-07-16 09:00:00,22200.0,33263
2015-07-16 10:00:00,21553.0,32367
2015-07-16 11:00:00,21281.0,32230
2015-07-16 12:00:00,21758.0,32823
2015-07-16 13:00:00,21650.0,34177
2015-07-16 14:00:00,22962.0,36301
2015-07-16 15:00:00,24414.0,38561
2015-07-16 16:00:00,25669.0,40779
2015-07-16 17:00:00,26694.0,42463
2015-07-16 18:00:00,27704.0,43960
2015-07-16 19:00:00,28576.0,45394
2015-07-16 20:00:00,29653.0,46822
2015-07-16 21:00:00,30291.0,47944
2015-07-16 22:00:00,31010.0,48732
2015-07-16 23:00:00,31294.0,48914
2015-07-17 00:00:00,31295.0,49094
2015-07-17 01:00:00,32470.0,48468
2015-07-17 02:00:00,31987.0,47906
2015-07-17 03:00:00,30984.0,46391
2015-07-17 04:00:00,30167.0,45135
2015-07-17 05:00:00,29043.0,43251
2015-07-17 06:00:00,26969.0,40291
2015-07-17 07:00:00,24881.0,37038
2015-07-17 08:00:00,23316.0,34895
2015-07-17 09:00:00,22373.0,33498
2015-07-17 10:00:00,21742.0,32675
2015-07-17 11:00:00,21501.0,32470
2015-07-17 12:00:00,21801.0,32949
2015-07-17 13:00:00,21516.0,34182
2015-07-17 14:00:00,22754.0,36225
2015-07-17 15:00:00,24433.0,38966
2015-07-17 16:00:00,25988.0,41395
2015-07-17 17:00:00,27298.0,43265
2015-07-17 18:00:00,28378.0,44927
2015-07-17 19:00:00,29256.0,46573
2015-07-17 20:00:00,30126.0,47523
2015-07-17 21:00:00,30694.0,48407
2015-07-17 22:00:00,31090.0,49050
2015-07-17 23:00:00,31287.0,49299
2015-07-18 00:00:00,31591.0,49395
2015-07-18 01:00:00,32874.0,48994
2015-07-18 02:00:00,32107.0,48102
2015-07-18 03:00:00,31112.0,46510
2015-07-18 04:00:00,30325.0,45163
2015-07-18 05:00:00,29238.0,43318
2015-07-18 06:00:00,27442.0,40797
2015-07-18 07:00:00,25587.0,38154
2015-07-18 08:00:00,23936.0,35843
2015-07-18 09:00:00,22919.0,34341
2015-07-18 10:00:00,22262.0,33323
2015-07-18 11:00:00,21641.0,32776
2015-07-18 12:00:00,21635.0,32632
2015-07-18 13:00:00,20876.0,32917
